episode,total_reward,steps,initial_ships,total_arrivals,total_ships_seen,ships_handled,ships_remaining,avg_q_value,epsilon
1,-118.89999999999992,19,8,13,21,21,0,0.9974812096671054,1.0
2,-35.10000000000002,21,8,18,26,26,0,0.9191932862713224,0.98875
3,-18.000000000000018,20,11,17,28,28,0,0.9893594831228256,0.9775
4,-19.900000000000006,9,7,8,15,15,0,0.8689390420913696,0.96625
5,-3.4999999999999987,5,7,1,8,8,0,0.8136168479919433,0.955
6,-16.000000000000007,10,11,6,17,17,0,1.800789225101471,0.94375
7,10.3,7,5,7,12,12,0,1.148475638457707,0.9325
8,10.4,6,5,4,9,9,0,1.0257922460635502,0.92125
9,6.6,4,5,2,7,7,0,0.8257395438849926,0.91
10,-56.49999999999999,15,11,21,32,32,0,3.3589429294069606,0.8987499999999999
11,-89.39999999999986,34,12,39,51,51,0,6.696990131455309,0.8875
12,-52.40000000000001,14,10,11,21,21,0,2.095831432512828,0.87625
13,-3.9999999999999987,10,6,7,13,13,0,1.6444364607334137,0.865
14,8.7,3,5,1,6,6,0,0.488366961479187,0.85375
15,-3.7999999999999976,8,6,7,13,13,0,1.58625927567482,0.8425
16,-117.39999999999989,24,11,26,37,37,0,3.7009496800601482,0.83125
17,-87.59999999999992,26,7,28,35,35,0,4.168167371016282,0.82
18,-49.80000000000002,18,9,18,27,27,0,2.889706571896871,0.80875
19,-71.79999999999995,28,8,37,45,45,0,5.017328853053706,0.7975
20,-111.19999999999992,22,10,22,32,32,0,3.226800176230344,0.78625
21,-13.300000000000008,13,10,10,20,20,0,2.6557745199937086,0.775
22,-21.600000000000016,16,11,19,30,30,0,3.3385433182120323,0.7637499999999999
23,6.5,15,10,10,20,20,0,3.1768269379933676,0.7525
24,-34.10000000000001,11,7,9,16,16,0,1.405777703632008,0.74125
25,-19.00000000000002,20,11,19,30,30,0,4.496511923521757,0.73
26,-41.70000000000002,17,10,19,29,29,0,3.197184022735147,0.71875
27,-219.29999999999984,33,11,35,46,46,0,3.266027963522709,0.7075
28,4.4,6,9,6,15,15,0,1.7752430438995361,0.69625
29,-7.799999999999997,8,11,4,15,15,0,1.813156634569168,0.685
30,-82.09999999999994,31,7,36,43,43,0,7.058776916996125,0.6737500000000001
31,-7.899999999999997,9,7,8,15,15,0,3.2460155487060547,0.6625
32,-11.099999999999998,11,5,12,17,17,0,4.383241209116849,0.65125
33,9.7,3,6,3,9,9,0,2.967013676961263,0.6399999999999999
34,9.100000000000001,9,7,15,22,22,0,5.33443961540858,0.62875
35,-17.000000000000007,10,11,9,20,20,0,3.222810959815979,0.6174999999999999
36,2.0999999999999996,9,5,7,12,12,0,5.352695531315273,0.60625
37,2.4000000000000004,6,5,6,11,11,0,4.8116627136866255,0.595
38,-26.20000000000001,12,10,14,24,24,0,4.455382525920868,0.58375
39,3.6,4,5,1,6,6,0,3.8139060139656067,0.5725
40,-14.100000000000007,11,11,12,23,23,0,4.332527526400306,0.56125
41,-0.49999999999999867,5,5,3,8,8,0,3.9252366065979003,0.55
42,0.09999999999999964,9,8,9,17,17,0,6.051499737633599,0.5387500000000001
43,-5.799999999999999,8,9,9,18,18,0,4.827372122555971,0.5275
44,-6.6999999999999975,7,12,3,15,15,0,4.4312688793454855,0.51625
45,4.500000000000002,15,5,18,23,23,0,7.303371493021647,0.5049999999999999
46,-49.20000000000001,12,11,15,26,26,0,3.5551992654800415,0.49375
47,4.4,6,9,7,16,16,0,5.648420006036758,0.48250000000000004
48,10.600000000000001,14,8,14,22,22,0,7.742826632090977,0.47124999999999995
49,5.5,5,12,1,13,13,0,4.548857116699219,0.45999999999999996
50,13.200000000000001,18,8,23,31,31,0,8.048945784568787,0.44875
51,-20.400000000000013,14,10,14,24,24,0,7.5750075834138055,0.4375
52,11.200000000000003,8,7,6,13,13,0,8.064667999744415,0.42625
53,12.000000000000002,10,5,9,14,14,0,8.683881998062134,0.4149999999999999
54,1.5000000000000009,5,6,3,9,9,0,8.554861927032471,0.40375000000000005
55,6.4,6,8,5,13,13,0,8.457486947377523,0.39249999999999996
