episode,reward,steps,epsilon,avg_loss,served,arrivals,avg_wait,deadline_miss_rate,utilization,infeasible_actions
1,-2893.074999999997,200,1.0,5.3172491462263345,40,70,83.21428571428571,0.925,0.53,158
2,-2842.975000000003,200,0.9989444444444444,0.9024744801223278,39,70,82.68571428571428,0.8717948717948718,0.4866666666666667,155
3,-3310.649999999995,200,0.9978888888888889,0.6028421473503113,33,65,88.47692307692307,0.9393939393939394,0.43666666666666665,159
4,-2857.8999999999983,200,0.9968333333333333,0.6208976677060127,52,83,70.03614457831326,0.8269230769230769,0.6033333333333334,144
5,-2719.2249999999967,200,0.9957777777777778,0.628749347627163,43,73,77.53424657534246,0.9069767441860465,0.5366666666666666,156
6,-2851.0,200,0.9947222222222222,0.6332756033539773,49,81,69.41975308641975,0.8979591836734694,0.57,144
7,-2943.224999999999,200,0.9936666666666667,0.6126582992076873,46,76,76.60526315789474,0.8913043478260869,0.5666666666666667,143
8,-2689.850000000004,200,0.9926111111111111,0.5725528597831726,43,73,78.43835616438356,0.8604651162790697,0.49,150
9,-3009.3000000000025,200,0.9915555555555555,0.6011892147362232,47,78,73.38461538461539,0.8936170212765957,0.5133333333333333,147
10,-2559.850000000002,200,0.9905,0.5793660388886929,48,79,71.37974683544304,0.9166666666666666,0.5883333333333334,148
11,-2972.999999999999,200,0.9894444444444445,0.5553095322847367,41,72,77.47222222222223,0.926829268292683,0.4666666666666667,154
12,-2808.775000000001,200,0.9883888888888889,0.5717764793336392,49,80,72.1125,0.8775510204081632,0.54,148
13,-2737.05,200,0.9873333333333333,0.550219988822937,45,77,73.87012987012987,0.9111111111111111,0.5133333333333333,147
14,-2558.300000000004,200,0.9862777777777778,0.5506996838748455,47,78,70.11538461538461,0.8723404255319149,0.5366666666666666,148
15,-3128.774999999996,200,0.9852222222222222,0.5666117012500763,43,74,76.97297297297297,0.8837209302325582,0.545,153
16,-3140.5249999999974,200,0.9841666666666666,0.5650498540699482,38,68,83.6470588235294,0.868421052631579,0.47333333333333333,160
17,-2685.2499999999986,200,0.9831111111111112,0.5640787069499492,54,84,67.64285714285714,0.9259259259259259,0.5666666666666667,141
18,-3192.974999999999,200,0.9820555555555556,0.5757842616736889,40,70,82.34285714285714,0.9,0.475,155
19,-2697.5,200,0.981,0.573737958073616,47,78,69.47435897435898,0.851063829787234,0.5733333333333334,148
20,-2697.5749999999994,200,0.9799444444444444,0.5945430082082749,48,79,72.65822784810126,0.8541666666666666,0.5366666666666666,146
21,-2825.300000000001,200,0.9788888888888889,0.5840726724267006,51,82,69.46341463414635,0.9019607843137255,0.5683333333333334,140
22,-2893.3249999999975,200,0.9778333333333333,0.5739403082430363,52,83,69.53012048192771,0.8846153846153846,0.5616666666666666,141
23,-2776.649999999998,200,0.9767777777777777,0.5757326830923557,38,69,81.95652173913044,0.8157894736842105,0.47833333333333333,153
24,-2838.525000000002,200,0.9757222222222223,0.5411476330459117,41,71,80.85915492957747,0.9024390243902439,0.505,157
25,-3010.825000000001,200,0.9746666666666667,0.5429629233479499,45,75,73.88,0.8888888888888888,0.5,150
26,-2992.7250000000004,200,0.9736111111111111,1.8843991988897324,40,71,81.70422535211267,0.925,0.49,155
27,-2801.9250000000034,200,0.9725555555555555,1.0017129534482956,42,72,79.47222222222223,0.9047619047619048,0.4633333333333333,154
28,-2612.574999999997,200,0.9715,0.8905999132990837,49,79,70.60759493670886,0.8367346938775511,0.5616666666666666,147
29,-2845.550000000001,200,0.9704444444444444,0.8102863042056561,46,76,74.98684210526316,0.9565217391304348,0.58,149
30,-2905.4249999999993,200,0.9693888888888889,0.7515511520206928,47,78,74.35897435897436,0.9361702127659575,0.54,146
31,-2750.624999999999,200,0.9683333333333334,0.7329886996746063,46,76,74.9342105263158,0.8913043478260869,0.5366666666666666,152
32,-3008.650000000001,200,0.9672777777777778,0.700135069489479,46,77,73.57142857142857,0.9130434782608695,0.5516666666666666,145
33,-2920.9749999999985,200,0.9662222222222222,0.6638507443666458,40,72,80.44444444444444,0.9,0.45,155
34,-2755.6499999999983,200,0.9651666666666666,0.6504793359339237,46,78,73.1923076923077,0.9347826086956522,0.5216666666666666,150
35,-2752.475000000001,200,0.9641111111111111,0.6160672149062156,48,78,73.24358974358974,0.875,0.62,148
36,-2769.150000000005,200,0.9630555555555556,0.6068905127048493,40,72,77.94444444444444,0.875,0.4866666666666667,151
37,-2839.949999999999,200,0.962,0.607114365696907,48,80,69.6,0.875,0.5116666666666667,144
38,-2796.6000000000004,200,0.9609444444444445,0.5832780991494656,50,80,71.2375,0.9,0.5533333333333333,146
39,-3009.5750000000007,200,0.9598888888888889,0.5921347530186176,41,72,78.47222222222223,0.8780487804878049,0.48333333333333334,155
40,-3064.099999999998,200,0.9588333333333333,0.5776255747675896,46,78,74.87179487179488,0.9347826086956522,0.525,146
41,-2980.2250000000017,200,0.9577777777777777,0.5773928464949131,42,73,80.05479452054794,0.8809523809523809,0.5033333333333333,153
42,-2977.2250000000035,200,0.9567222222222223,0.5468988901376725,46,76,75.5,0.9565217391304348,0.5666666666666667,152
43,-2881.0250000000024,200,0.9556666666666667,0.5665381744503974,46,78,74.15384615384616,0.9130434782608695,0.5083333333333333,149
44,-2852.999999999999,200,0.9546111111111111,0.5591513177752495,48,79,70.88607594936708,0.8958333333333334,0.5833333333333334,149
45,-3156.7999999999993,200,0.9535555555555556,0.5492823132872582,42,72,80.26388888888889,0.8571428571428571,0.48,153
46,-2816.3,200,0.9525,0.5306056463718414,52,83,68.80722891566265,0.8846153846153846,0.5883333333333334,141
47,-2907.775000000003,200,0.9514444444444444,0.5445549361407757,41,71,81.26760563380282,0.8780487804878049,0.49,154
48,-2855.325000000001,200,0.9503888888888888,0.5348930230736733,46,78,73.85897435897436,0.8913043478260869,0.5666666666666667,148
49,-2837.0249999999996,200,0.9493333333333334,0.5295042732357979,47,79,72.56962025316456,0.8723404255319149,0.5733333333333334,149
50,-2941.7000000000007,200,0.9482777777777778,0.5386963161826134,52,82,68.89024390243902,0.9230769230769231,0.6,147
51,-2805.300000000003,200,0.9472222222222222,1.6920540645718574,44,74,77.75675675675676,0.8863636363636364,0.5433333333333333,150
52,-2908.3250000000003,200,0.9461666666666667,0.9962771657109261,47,78,73.2948717948718,0.8723404255319149,0.545,149
53,-2779.4000000000005,200,0.9451111111111111,0.9521215659379959,45,75,76.76,0.8888888888888888,0.53,152
54,-2611.3999999999983,200,0.9440555555555555,0.8911325052380562,49,79,71.81012658227849,0.8979591836734694,0.5766666666666667,148
55,-2826.149999999999,200,0.9430000000000001,0.8835562494397163,43,74,77.21621621621621,0.8837209302325582,0.49,151
56,-2857.7500000000027,200,0.9419444444444445,0.850863646864891,55,87,66.44827586206897,0.9090909090909091,0.6033333333333334,135
57,-3009.724999999999,200,0.9408888888888889,0.8348722022771835,40,71,81.98591549295774,0.825,0.5083333333333333,150
58,-2782.799999999999,200,0.9398333333333333,0.8222845138609409,47,79,72.49367088607595,0.9361702127659575,0.5616666666666666,149
59,-2786.6249999999986,200,0.9387777777777778,0.8279990921914577,49,79,72.26582278481013,0.8775510204081632,0.5716666666666667,146
60,-2791.8999999999955,200,0.9377222222222222,0.803587496727705,45,76,75.77631578947368,0.9333333333333333,0.49333333333333335,150
61,-2779.975000000001,200,0.9366666666666666,0.7953126916289329,47,78,73.3076923076923,0.8723404255319149,0.5183333333333333,147
62,-2809.624999999999,200,0.9356111111111111,0.7842547763884068,45,77,74.92207792207792,0.8888888888888888,0.5416666666666666,142
63,-2921.35,200,0.9345555555555556,0.7746075342595578,45,76,76.25,0.8444444444444444,0.49833333333333335,145
64,-3099.225000000003,200,0.9335,0.7580386219918728,43,74,78.74324324324324,0.8604651162790697,0.4216666666666667,152
65,-2662.9249999999956,200,0.9324444444444444,0.7557362492382527,47,79,71.82278481012658,0.851063829787234,0.5083333333333333,144
66,-2983.674999999995,200,0.9313888888888889,0.7778493513166904,41,71,80.47887323943662,0.8780487804878049,0.475,154
67,-2555.5750000000007,200,0.9303333333333333,0.7712116761505604,47,78,70.64102564102564,0.851063829787234,0.5316666666666666,148
68,-2844.825000000002,200,0.9292777777777778,0.7207142333686352,38,68,84.0,0.8157894736842105,0.46166666666666667,156
69,-2804.850000000001,200,0.9282222222222223,0.7432656002044677,44,74,77.45945945945945,0.9545454545454546,0.5133333333333333,150
70,-2767.6500000000015,200,0.9271666666666667,0.7458304025232791,53,84,67.35714285714286,0.9056603773584906,0.6033333333333334,141
71,-2836.899999999999,200,0.9261111111111111,0.7365318456292153,53,86,66.54651162790698,0.8679245283018868,0.6366666666666667,139
72,-3020.0249999999955,200,0.9250555555555555,0.7196947333216667,41,72,79.23611111111111,0.8780487804878049,0.47333333333333333,154
73,-2861.1500000000015,200,0.924,0.7327700579166412,42,74,76.82432432432432,0.8809523809523809,0.505,152
74,-2882.125,200,0.9229444444444445,0.7115652760863305,52,84,68.63095238095238,0.8846153846153846,0.565,144
75,-3130.8000000000015,200,0.9218888888888889,0.7237793707847595,41,72,80.80555555555556,0.9024390243902439,0.4483333333333333,155
76,-3132.449999999999,200,0.9208333333333334,1.68934390604496,45,75,77.06666666666666,0.9333333333333333,0.5333333333333333,152
77,-2973.100000000002,200,0.9197777777777778,1.1279289215803145,47,78,73.11538461538461,0.9148936170212766,0.5066666666666667,148
78,-2992.000000000003,200,0.9187222222222222,1.0688394328951836,41,73,77.91780821917808,0.8780487804878049,0.49833333333333335,151
79,-2955.3750000000005,200,0.9176666666666666,1.0543093621730804,47,79,73.0379746835443,0.9148936170212766,0.5816666666666667,147
80,-2957.374999999997,200,0.9166111111111112,1.0370711407065392,50,81,70.8395061728395,0.9,0.515,146
81,-2962.049999999999,200,0.9155555555555556,1.0153648579120635,48,79,73.0253164556962,0.8541666666666666,0.5416666666666666,146
82,-2916.2250000000013,200,0.9145,0.974206018447876,46,77,74.02597402597402,0.8913043478260869,0.505,150
83,-3016.449999999998,200,0.9134444444444445,1.0017311000823974,47,79,71.59493670886076,0.8936170212765957,0.5433333333333333,144
84,-2781.099999999997,200,0.9123888888888889,1.0038280338048935,50,82,69.07317073170732,0.88,0.565,143
85,-2876.6999999999985,200,0.9113333333333333,0.9802846771478653,41,72,79.80555555555556,0.8780487804878049,0.47333333333333333,151
86,-2746.6,200,0.9102777777777777,1.006472419798374,48,79,72.37974683544304,0.9166666666666666,0.5516666666666666,142
87,-2885.4500000000003,200,0.9092222222222223,1.006818208694458,49,81,70.46913580246914,0.8775510204081632,0.5666666666666667,148
88,-2565.824999999998,200,0.9081666666666667,0.9703371471166611,43,75,76.57333333333334,0.813953488372093,0.5116666666666667,150
89,-2824.425000000003,200,0.9071111111111111,0.9932077041268349,53,86,66.22093023255815,0.8301886792452831,0.6416666666666667,143
90,-2711.374999999999,200,0.9060555555555556,0.9878352469205857,53,83,67.98795180722891,0.9056603773584906,0.605,139
91,-2993.649999999999,200,0.905,0.9793849205970764,48,78,74.3076923076923,0.9166666666666666,0.5466666666666666,148
92,-2826.2000000000025,200,0.9039444444444444,0.9953628614544868,45,76,73.92105263157895,0.8444444444444444,0.5066666666666667,149
93,-2843.4250000000006,200,0.9028888888888889,0.9494094285368919,52,82,70.1219512195122,0.9038461538461539,0.6033333333333334,143
